소관부처,담당부서,분류번호
개인정보보호위원회,자율보호정책과,1
경찰청,감사담당관,1
경찰청,강력범죄수사과,1
경찰청,경비과,1
경찰청,교통기획과,10
경찰청,교통안전과,10
경찰청,대테러위기관리과,4
경찰청,범죄분석과,1
경찰청,범죄예방정책과,62
경찰청,수사기획담당관,1
경찰청,장비운영과,1
경찰청,청소년보호과,5
경찰청,치안정보상황과,2
고용노동부,건설산재예방정책과,2
고용노동부,고령사회인력정책과,8
고용노동부,고용문화개선정책과,3
고용노동부,고용보험기획과,55
고용노동부,고용서비스기반과,2
고용노동부,고용서비스정책과,12
고용노동부,고용정책총괄과,1
고용노동부,고용지원실업급여과,30
고용노동부,고용차별개선과,4
고용노동부,공공노사관계과,8
고용노동부,국민취업지원기획팀,5
고용노동부,근로기준정책과,14
고용노동부,기업일자리지원과,5
고용노동부,기업훈련지원과,4
고용노동부,기획재정담당관,2
고용노동부,노사관계법제과,23
고용노동부,산업보건과,4
고용노동부,산업보건기준과,8
고용노동부,산업안전과,3
고용노동부,산업안전기준과,14
고용노동부,산업안전보건정책과,6
고용노동부,산재보상정책과,75
고용노동부,안전문화협력팀,3
고용노동부,안전보건감독기획과,1
고용노동부,여성고용정책과,10
고용노동부,외국인력담당관,11
고용노동부,인적자원개발과,16
고용노동부,임금근로시간정책과,2
고용노동부,장애인고용과,22
고용노동부,지역산업고용정책과,4
고용노동부,직업건강증진팀,1
고용노동부,직업능력평가과,21
고용노동부,코로나19대응고용회복지원반,1
고용노동부,퇴직연금복지과,23
고용노동부,화학사고예방과,14
공정거래위원회,가맹거래정책과,2
공정거래위원회,기업결합과,1
공정거래위원회,기업집단관리과,4
공정거래위원회,소비자거래정책과,6
공정거래위원회,소비자안전교육과,1
공정거래위원회,제조카르텔조사과,1
공정거래위원회,특수거래정책과,23
공통,공통,12
과학기술정보통신부,과학기술문화과,2
과학기술정보통신부,과학기술안전기반팀,6
과학기술정보통신부,국제협력총괄담당관,1
과학기술정보통신부,규제개혁법무담당관,6
과학기술정보통신부,네트워크안전기획과,1
과학기술정보통신부,네트워크정책과,18
과학기술정보통신부,뉴미디어정책과,15
과학기술정보통신부,데이터진흥과,4
과학기술정보통신부,디지털신산업제도과,1
과학기술정보통신부,방송산업정책과,4
과학기술정보통신부,방송진흥기획과,13
과학기술정보통신부,사이버침해대응과,1
과학기술정보통신부,사후관리과,2
과학기술정보통신부,소프트웨어산업과,4
과학기술정보통신부,연구산업진흥과,8
과학기술정보통신부,우편집배과,1
과학기술정보통신부,운영지원과,1
과학기술정보통신부,적합성인증과,10
과학기술정보통신부,전파관리과,19
과학기술정보통신부,전파관제과,2
과학기술정보통신부,전파기반과,7
과학기술정보통신부,전파보호과,3
과학기술정보통신부,전파환경안전과,1
과학기술정보통신부,정보통신산업정책과,2
과학기술정보통신부,정보통신적합성평가과,4
과학기술정보통신부,주파수정책과,1
과학기술정보통신부,지역과학기술진흥과,7
과학기술정보통신부,통신경쟁정책과,2
과학기술정보통신부,통신이용제도과,1
과학기술정보통신부,통신자원정책과,7
과학기술정보통신부,통신정책기획과,15
관세청,공정무역심사팀,9
관세청,관세국경감시과,69
관세청,기업심사과,2
관세청,법무담당관,4
관세청,보세산업지원과,55
관세청,세원심사과,49
관세청,수출입안전검사과,5
관세청,시스템운영팀,1
관세청,심사정책과,20
관세청,외환조사과,2
관세청,원산지검증과,3
관세청,전자상거래통관과,6
관세청,정보데이터기획담당관,1
관세청,통관물류정책과,80
관세청,품목분류1과,1
교육부,교원양성연수과,7
교육부,교원정책과,1
교육부,교육국제화담당관,1
교육부,교육복지정책과,11
교육부,교육시설과,2
교육부,기초학력진로교육과,7
교육부,대학경영혁신지원과,10
교육부,영유아교원지원과,3
교육부,영유아재정과,6
교육부,영유아정책총괄과,3
교육부,유아교육정책과,5
교육부,인재선발제도과,2
교육부,인재양성정책과,1
교육부,인재양성지원과,10
교육부,지방교육재정과,1
교육부,청년장학지원과,4
교육부,평생직업교육기획과,2
교육부,평생학습지원과,36
교육부,학교교수학습혁신과,10
교육부,학생건강정책과,3
국가보훈부,국립묘지정책과,2
국가보훈부,국립서울현충원,3
국가보훈부,등록관리과,23
국가보훈부,보상정책과,23
국가보훈부,보훈기록관리과,1
국가보훈부,보훈단체수익사업관리팀,1
국가보훈부,보훈의료서비스기획과,1
국가보훈부,복지서비스과,2
국가보훈부,복지정책과,1
국가보훈부,생활안정과,29
국가보훈부,심사기준과,4
국가보훈부,예우정책과,1
국가보훈부,제대군인일자리과,4
국가보훈부,제대군인정책과,2
국가보훈부,현충시설관리과,1
국가보훈부,현충시설정책과,1
국가유산청,고도보존육성팀,3
국가유산청,궁능서비스기획과,1
국가유산청,근현대유산과,2
국가유산청,동식물유산과,17
국가유산청,문화유산정책과,7
국가유산청,수리기술과,12
국가유산청,안전방재과,7
국가유산청,역사문화권과,5
국가유산청,역사유적과,10
국가유산청,유적발굴과,7
국가유산청,정책총괄과,1
국방부,6.25비정규군보상지원단,3
국방부,국군재정관리단,17
국방부,군비통제과,2
국방부,군소음보상팀,4
국방부,군인연금과,1
국방부,군인재해보상과,1
국방부,물자관리과,1
국방부,예비전력과,4
국세청,공익중소법인지원팀,1
국세청,국제조세담당관,13
국세청,납세자보호담당관,5
국세청,법인세과,20
국세청,부가가치세과,40
국세청,부동산납세과,7
국세청,상속증여세과,7
국세청,소득세과,14
국세청,소비세과,66
국세청,심사1담당관,2
국세청,심사2담당관,3
국세청,원천세과,11
국세청,자본거래관리과,2
국세청,장려세제과,2
국세청,조사기획과,1
국세청,징세과,22
국토교통부,건설산업과,51
국토교통부,건설안전과,2
국토교통부,건설정책과,8
국토교통부,건축문화경관과,12
국토교통부,건축안전과,10
국토교통부,건축정책과,38
국토교통부,공간정보제도과,27
국토교통부,공항건설팀,5
국토교통부,공항안전환경과,1
국토교통부,공항운영과,3
국토교통부,공항정책과,1
국토교통부,교통서비스정책과,38
국토교통부,교통안전정책과,3
국토교통부,국가공간정보센터,1
국토교통부,국제항공과,5
국토교통부,기술정책과,5
국토교통부,기술혁신과,5
국토교통부,녹색건축과,2
국토교통부,녹색도시과,8
국토교통부,도로건설과,1
국토교통부,도로관리과,7
국토교통부,도로시설안전과,1
국토교통부,도로정책과,6
국토교통부,도시정책과,5
국토교통부,도시활력지원과,7
국토교통부,모빌리티총괄과,8
국토교통부,물류산업과,30
국토교통부,물류정책과,6
국토교통부,민간임대정책과,17
국토교통부,부동산개발산업과,16
국토교통부,부동산산업과,3
국토교통부,부동산투자제도과,5
국토교통부,부동산평가과,7
국토교통부,산업입지정책과,7
국토교통부,생활교통복지과,18
국토교통부,생활물류정책팀,1
국토교통부,수사과,3
국토교통부,시설안전과,4
국토교통부,운영지원과,3
국토교통부,자동차운영보험과,36
국토교통부,자동차정책과,10
국토교통부,주거복지지원과,1
국토교통부,주택건설공급과,13
국토교통부,주택기금과,1
국토교통부,주택임대차지원팀,1
국토교통부,주택정비과,11
국토교통부,주택정책과,4
국토교통부,지역정책과,2
국토교통부,철도시설안전과,20
국토교통부,철도운영과,3
국토교통부,철도운행안전과,2
국토교통부,철도투자개발과,2
국토교통부,첨단물류과,15
국토교통부,첨단항공과,4
국토교통부,토지정책과,14
국토교통부,항공교통과,1
국토교통부,항공기술과,16
국토교통부,항공보안정책과,2
국토교통부,항공산업과,15
국토교통부,항공안전정책과,1
국토교통부,항공운항과,17
국토교통부,항공자격팀,5
국토교통부,항공정책과,1
국토교통부,항행위성정책과,4
국토교통부,해외건설정책과,3
국토교통부,혁신도시산업과,3
금융위원회,가계금융과,5
금융위원회,공정시장과,11
금융위원회,구조개선정책과,1
금융위원회,글로벌금융과,6
금융위원회,금융데이터정책과,7
금융위원회,금융정책과,5
금융위원회,보험과,9
금융위원회,은행과,19
금융위원회,자본시장과,24
금융위원회,자산운용과,8
금융위원회,전자금융과,3
금융위원회,중소금융과,20
기상청,계측표준협력과,7
기상청,국가기후데이터센터,1
기상청,기상서비스정책과,6
기상청,지진화산기술팀,1
기획재정부,국고과,1
기획재정부,국유재산정책과,1
기획재정부,국제금융과,2
기획재정부,대외경제총괄과,1
기획재정부,외화자금과,2
기획재정부,외환제도과,4
기획재정부,지속가능경제과,16
기획재정부,출자관리과,14
농림축산식품부,검역정책과,1
