사무명,질문
"공유수면원상회복 의무면제(점용, 사용)","1. 공유수면 원상회복 의무 면제를 신청하고 싶은데, 신청구역을 표시한 2만5천분의 1의 지형도를 어떻게 준비해야 하나요?"
"공유수면원상회복 의무면제(점용, 사용)","2. 제가 점용하고 있는 공유수면에 대해 원상회복이 불가능한 사유가 있는데, 이를 증명하기 위한 서류는 어떤 것이 필요한가요?"
"공유수면원상회복 의무면제(점용, 사용)",3. 공유수면 원상회복 의무 면제를 신청하기 위해 제출해야 하는 기본서류 중 법인등기사항증명서는 어디서 발급받을 수 있나요?
"공유수면원상회복 의무면제(점용, 사용)","4. 해양수산부 해양공간정책과에 공유수면 원상회복 의무 면제 신청서를 제출하려고 하는데, 인터넷으로 신청하는 방법은 무엇인가요?"
"공유수면원상회복 의무면제(점용, 사용)","5. 공유수면 원상회복 의무 면제를 신청한 후 처리 기간이 14일이라고 하는데, 이 기간 동안 어떤 절차가 진행되는지 알고 싶습니다."
어장정화·정비업 등록신청,"1. 어장정화·정비업을 시작하려고 하는데, 필요한 구비서류 중에서 기술인력현황서류사본은 어떻게 준비해야 하나요?"
어장정화·정비업 등록신청,2. 어장정화·정비업 등록신청을 위해 임차한 선박의 임차권을 증명하는 서류는 어떤 형식으로 제출해야 하는지 궁금합니다.
어장정화·정비업 등록신청,3. 어장정화·정비업 등록을 위해 필요한 기본서류 중 자본금 보유현황증명서류는 어떤 내용을 포함해야 하나요?
어장정화·정비업 등록신청,"4. 어장정화·정비업 등록신청을 하려면 정관을 제출해야 하는데, 정관 작성 시 주의해야 할 점이 있을까요?"
어장정화·정비업 등록신청,"5. 어장정화·정비업 등록신청을 위해 법인등기사항증명서를 제출해야 하는 경우, 이 서류는 어디서 발급받을 수 있나요?"
"선박재검사(재검정, 재확인)","1. 최근에 선박 검사를 받았는데, 검사 결과에 불복하여 선박 재검사를 신청하고 싶습니다. 이 경우, 어떤 절차를 따라야 하나요?"
"선박재검사(재검정, 재확인)","2. 선박 재검정 신청을 위해 필요한 서류가 없다고 들었는데, 그럼에도 불구하고 재검사를 신청할 때 주의해야 할 점이 있을까요?"
"선박재검사(재검정, 재확인)","3. 선박 재확인 신청을 하려면, 검사 결과 통지를 받은 날로부터 90일 이내에 신청해야 한다고 하는데, 이 기간을 놓치면 어떻게 되나요?"
"선박재검사(재검정, 재확인)","4. 선박 재검사를 신청하려고 하는데, 해양수산부의 해사산업기술과에 직접 방문하여 신청할 수 있는지 궁금합니다."
"선박재검사(재검정, 재확인)","5. 선박 재검정에 대한 신청 수수료가 없다고 하던데, 이와 관련하여 추가 비용이 발생할 가능성이 있는지 알고 싶습니다."
항만공사 준공전사용신고,"1. 항만공사로 조성된 비귀속 토지를 사용하고 싶은데, 준공전사용신고를 하려면 어떤 서류를 제출해야 하나요?"
항만공사 준공전사용신고,2. 비관리청으로서 항만공사 준공전사용신고를 하려면 사용하려는 시설의 공정현황과 도면을 어떻게 준비해야 하나요?
항만공사 준공전사용신고,"3. 항만공사 준공전사용신고를 위해 필요한 기본서류를 제출하려고 하는데, 해당 토지의 사진은 어떤 형식으로 제출해야 하나요?"
항만공사 준공전사용신고,"4. 준공확인필증을 받기 전에 항만공사로 설치되는 비귀속 시설을 사용하려면, 신고는 어디에 방문해야 하나요?"
항만공사 준공전사용신고,"5. 항만공사 준공전사용신고를 위한 신청서 양식은 어디에서 받을 수 있으며, 제출 방법은 어떤 것이 있나요?"
컨테이너 정기(계속)점검방법승인 신청,"1. 제가 소유한 컨테이너에 대한 정기점검 방법 승인을 신청하려고 하는데, 필요한 구비서류에는 어떤 내용이 포함되어야 하나요?"
컨테이너 정기(계속)점검방법승인 신청,"2. 컨테이너 정기점검 방법 승인을 위해 해양수산부에 신청서를 제출하려면, 별지서식 66호를 어떻게 작성해야 하는지 궁금합니다."
컨테이너 정기(계속)점검방법승인 신청,"3. 컨테이너의 안전점검을 스스로 실시하기 위해 승인받으려면, 회사의 개요를 설명하는 서류는 어떤 형식으로 제출해야 하나요?"
컨테이너 정기(계속)점검방법승인 신청,"4. 정기점검계획과 기준을 포함한 서류를 제출해야 하는데, 구체적으로 어떤 항목을 포함해야 하는지 안내받을 수 있을까요?"
컨테이너 정기(계속)점검방법승인 신청,"5. 컨테이너 정기점검 방법 승인을 신청할 때, 대행업체를 통해 점검을 진행하는 경우 필요한 자격요건 증명 서류는 어떤 것들이 있는지 알고 싶습니다."
항로표지 장비·용품검사 대행기관지정(재지정),1. 항로표지 장비·용품검사 대행기관으로 재지정을 받으려면 어떤 기본서류를 제출해야 하나요? 특히 검사원 명단과 자격 증명 서류에 대해 궁금합니다.
항로표지 장비·용품검사 대행기관지정(재지정),"2. 제가 항로표지 장비·용품검사 대행기관으로 지정받은 상태인데, 재지정을 받기 위해 필요한 신청서는 어디에서 다운로드할 수 있나요?"
