기관유형,기관유형별분류,대표기관명,전체기관명,최하위기관명,대표전화번호,새우편번호,도로명주소
검찰,검찰청_대검,대검찰청,대검찰청,대검찰청,1301,6590,서울특별시 서초구 반포대로 157
검찰,검찰청_고검,대검찰청,대검찰청 광주고등검찰청,광주고등검찰청,1301,61441,광주광역시 동구 준법로 7-12
검찰,검찰청_고검,대검찰청,대검찰청 대구고등검찰청,대구고등검찰청,1301,42027,대구광역시 수성구 동대구로 366
검찰,검찰청_고검,대검찰청,대검찰청 대전고등검찰청,대전고등검찰청,1301,35237,대전광역시 서구 둔산중로78번길 15
검찰,검찰청_고검,대검찰청,대검찰청 부산고등검찰청,부산고등검찰청,1301,47510,부산광역시 연제구 법원로 15
검찰,검찰청_고검,대검찰청,대검찰청 서울고등검찰청,서울고등검찰청,1301,6594,서울특별시 서초구 반포대로 158
검찰,검찰청_고검,대검찰청,대검찰청 수원고등검찰청,수원고등검찰청,1301,16512,수원시 영통구 법조로 91
검찰,검찰청_지검,대검찰청,대검찰청 광주고등검찰청 광주지방검찰청,광주지방검찰청,1301,61441,광주광역시 동구 준법로 7-12
검찰,검찰청_지검,대검찰청,대검찰청 광주고등검찰청 전주지방검찰청,전주지방검찰청,1301,54867,전라북도 전주시 덕진구 가인로 11
검찰,검찰청_지검,대검찰청,대검찰청 광주고등검찰청 제주지방검찰청,제주지방검찰청,1301,63223,제주특별자치도 제주시 남광북5길 3
검찰,검찰청_지검,대검찰청,대검찰청 대구고등검찰청 대구지방검찰청,대구지방검찰청,1301,42027,대구광역시 수성구 동대구로 366
검찰,검찰청_지검,대검찰청,대검찰청 대전고등검찰청 대전지방검찰청,대전지방검찰청,1301,35237,대전광역시 서구 둔산중로78번길 15
검찰,검찰청_지검,대검찰청,대검찰청 대전고등검찰청 청주지방검찰청,청주지방검찰청,1301,28624,충청북도 청주시 서원구 산남로70번길 51
검찰,검찰청_지검,대검찰청,대검찰청 부산고등검찰청 부산지방검찰청,부산지방검찰청,1301,47510,부산광역시 연제구 법원로 15
검찰,검찰청_지검,대검찰청,대검찰청 부산고등검찰청 울산지방검찰청,울산지방검찰청,1301,44643,울산광역시 남구 법대로 45
검찰,검찰청_지검,대검찰청,대검찰청 부산고등검찰청 창원지방검찰청,창원지방검찰청,1301,51456,경상남도 창원시 성산구 창이대로 669
검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 서울남부지방검찰청,서울남부지방검찰청,1301,8088,서울특별시 양천구 신월로 390
검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 서울동부지방검찰청,서울동부지방검찰청,1301,5856,서울특별시 송파구 정의로 30
검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 서울북부지방검찰청,서울북부지방검찰청,1301,1322,서울특별시 도봉구 마들로 747
검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 서울서부지방검찰청,서울서부지방검찰청,1301,4207,서울특별시 마포구 마포대로 174
검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 서울중앙지방검찰청,서울중앙지방검찰청,1301,6594,서울특별시 서초구 반포대로 158
검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 의정부지방검찰청,의정부지방검찰청,1301,11616,경기도 의정부시 녹양로34번길 23
검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 인천지방검찰청,인천지방검찰청,1301,22220,인천광역시 미추홀구 소성로163번길 49
검찰,검찰청_지검,대검찰청,대검찰청 서울고등검찰청 춘천지방검찰청,춘천지방검찰청,1301,24342,강원도 춘천시 공지로 288
검찰,검찰청_지검,대검찰청,대검찰청 수원고등검찰청 수원지방검찰청,수원지방검찰청,1301,16512,수원시 영통구 법조로 91
검찰,검찰청_지청,대검찰청,대검찰청 광주고등검찰청 광주지방검찰청 목포지청,목포지청,1301,58671,전라남도 목포시 정의로 9
검찰,검찰청_지청,대검찰청,대검찰청 광주고등검찰청 광주지방검찰청 순천지청,순천지청,1301,57932,전라남도 순천시 왕지로 19
검찰,검찰청_지청,대검찰청,대검찰청 광주고등검찰청 광주지방검찰청 장흥지청,장흥지청,1301,59330,전라남도 장흥군 장흥읍 읍성로 121-1
검찰,검찰청_지청,대검찰청,대검찰청 광주고등검찰청 광주지방검찰청 해남지청,해남지청,1301,59031,전라남도 해남군 해남읍 중앙1로 330
검찰,검찰청_지청,대검찰청,대검찰청 광주고등검찰청 전주지방검찰청 군산지청,군산지청,1301,54079,전라북도 군산시 법원로 70
검찰,검찰청_지청,대검찰청,대검찰청 광주고등검찰청 전주지방검찰청 남원지청,남원지청,1301,55761,전라북도 남원시 용성로 59
검찰,검찰청_지청,대검찰청,대검찰청 광주고등검찰청 전주지방검찰청 정읍지청,정읍지청,1301,56172,전라북도 정읍시 수성6로 27
검찰,검찰청_지청,대검찰청,대검찰청 대구고등검찰청 대구지방검찰청 경주지청,경주지청,1301,38145,경상북도 경주시 화랑로 89
검찰,검찰청_지청,대검찰청,대검찰청 대구고등검찰청 대구지방검찰청 김천지청,김천지청,1301,39518,경상북도 김천시 물망골길 33
검찰,검찰청_지청,대검찰청,대검찰청 대구고등검찰청 대구지방검찰청 상주지청,상주지청,1301,37160,경상북도 상주시 북천로 17-9
검찰,검찰청_지청,대검찰청,대검찰청 대구고등검찰청 대구지방검찰청 서부지청,서부지청,1301,42635,대구광역시 달서구 장산남로 40
검찰,검찰청_지청,대검찰청,대검찰청 대구고등검찰청 대구지방검찰청 안동지청,안동지청,1301,36752,경상북도 안동시 강남로 306
검찰,검찰청_지청,대검찰청,대검찰청 대구고등검찰청 대구지방검찰청 영덕지청,영덕지청,1301,36427,경상북도 영덕군 영덕읍 경동로 8335
검찰,검찰청_지청,대검찰청,대검찰청 대구고등검찰청 대구지방검찰청 의성지청,의성지청,1301,37339,경상북도 의성군 의성읍 군청길 67
검찰,검찰청_지청,대검찰청,대검찰청 대구고등검찰청 대구지방검찰청 포항지청,포항지청,1301,37573,경상북도 포항시 북구 법원로 181
검찰,검찰청_지청,대검찰청,대검찰청 대전고등검찰청 대전지방검찰청 공주지청,공주지청,1301,32568,충청남도 공주시 한적2길 34-13
